datetime,label,direction,id,x,y,w,h,Color,ColorConf,Type,TypeConf
2019-06-14 02:01:50,line2,down,2186,726,425,71,59,White,0.54,Car,0.54
2019-06-14 02:01:50.500000,line1,up,2302,327,162,72,74,White,0.52,SmallTruck,0.66
2019-06-14 02:01:51,line1,down,2370,439,202,36,27,Blue,0.34,Car,0.68
2019-06-14 02:01:51.400000,line2,up,2402,532,429,85,78,Gray,0.31,Van,0.38
2019-06-14 02:01:51.600000,line1,up,2362,348,207,35,32,White,0.53,Car,0.59
2019-06-14 02:01:51.700000,line2,down,2382,716,424,69,54,Black,0.51,SUV,0.52
2019-06-14 02:01:51.700000,line1,down,2374,405,201,35,31,White,0.34,Car,0.71
2019-06-14 02:01:52.400000,line2,up,2418,533,424,91,83,White,0.67,SUV,0.48
2019-06-14 02:01:53.200000,line1,down,2378,411,206,30,27,Blue,0.3,Car,0.65
2019-06-14 02:01:53.400000,line2,down,2278,738,432,64,54,White,0.39,Car,0.52
2019-06-14 02:01:53.900000,line1,up,2402,344,201,40,37,Gray,0.26,SUV,0.38
2019-06-14 02:01:54.400000,line2,up,2446,458,318,191,191,White,0.95,SmallTruck,0.62
2019-06-14 02:01:54.500000,line2,down,2450,649,435,77,59,White,0.98,Car,0.42
2019-06-14 02:01:54.500000,line2,down,2370,719,427,65,52,White,0.29,Car,0.71
2019-06-14 02:01:54.600000,line1,down,2422,408,197,34,35,Blue,0.4,Car,0.4
2019-06-14 02:01:54.900000,line1,up,2418,344,197,43,41,White,0.68,SUV,0.56
2019-06-14 02:01:55.600000,line2,up,2490,534,437,80,64,White,0.99,Car,0.92
2019-06-14 02:01:56,line2,down,2498,663,442,68,53,White,0.99,SUV,0.49
2019-06-14 02:01:57,line1,up,2446,317,155,76,81,White,0.89,SmallTruck,0.72
2019-06-14 02:01:57.400000,line2,down,2526,677,438,56,57,White,0.86,Car,0.5
2019-06-14 02:01:58,line1,up,2490,352,213,33,24,White,0.86,Car,0.73
2019-06-14 02:01:59,line1,up,2542,313,202,37,40,Yellow,0.39,Car,0.55
2019-06-14 02:01:59.200000,line1,down,2438,465,240,52,46,Blue,0.58,BigBus,0.37
2019-06-14 02:01:59.300000,line2,down,2546,597,351,142,142,Red,0.52,BigBus,0.7
2019-06-14 02:01:59.500000,line1,down,2582,434,197,41,31,Gray,0.28,Car,0.58
2019-06-14 02:02:00.100000,line1,down,2570,409,208,32,28,White,0.31,Car,0.58
2019-06-14 02:02:01,line1,up,2590,354,207,36,33,White,0.74,SUV,0.48
2019-06-14 02:02:01.500000,line1,down,2586,411,203,36,33,Gray,0.28,Car,0.6
2019-06-14 02:02:02.900000,line2,down,2686,656,441,65,54,White,0.98,SUV,0.48
2019-06-14 02:02:02.900000,line1,down,2610,406,200,33,33,Gray,0.29,Car,0.43
2019-06-14 02:02:04.100000,line2,up,2718,527,424,85,73,Black,0.75,Car,0.88
2019-06-14 02:02:04.300000,line2,down,2730,662,441,75,58,White,0.87,Car,0.78
2019-06-14 02:02:04.400000,line1,down,2634,397,183,53,51,Blue,0.63,BigBus,0.31
2019-06-14 02:02:04.600000,line1,up,2682,349,200,38,36,White,0.81,SUV,0.4
2019-06-14 02:02:05.200000,line1,up,2690,310,195,43,49,White,0.46,SmallTruck,0.42
2019-06-14 02:02:05.900000,line2,up,2754,475,366,77,62,White,0.75,SUV,0.5
2019-06-14 02:02:05.900000,line2,down,2766,670,445,61,58,White,0.94,SUV,0.33
2019-06-14 02:02:06,line1,down,2726,408,198,37,36,Blue,0.72,Car,0.54
